Player,MP,Starts,Min,90s,Gls,Ast,Gls,Ast
Amrinder Singh,15,15,"1,350",15,0,0,0,0
Amey Ranawade,15,15,"1,307",14.5,1,4,0.07,0.28
Isak Vanlalruatfela,15,15,"1,241",13.8,2,3,0.15,0.22
Jerry Lalrinzuala,14,14,"1,253",13.9,0,0,0,0
Ahmed Jahouh,14,14,"1,226",13.6,2,2,0.15,0.15
K Lalthathanga,14,14,"1,165",12.9,1,1,0.08,0.08
Carlos Delgado,15,13,"1,202",13.4,0,1,0,0.07
Roy Krishna,15,11,974,10.8,11,1,1.02,0.09
Diego Maurício,14,9,770,8.6,6,1,0.7,0.12
Narender Gahlot,10,9,741,8.2,0,0,0,0
Jerry Mawihmingthanga,12,8,612,6.8,2,1,0.29,0.15
Lenny Rodrigues,13,7,764,8.5,0,0,0,0
Mourtada Fall,10,7,692,7.7,3,0,0.39,0
Cy Goddard,8,6,466,5.2,0,2,0,0.39
Princeton Rebello,11,4,339,3.8,0,1,0,0.27
Aniket Anil Jadhav,11,1,275,3.1,0,0,0,0
Pranjal Bhumij,8,1,182,2,0,0,0,0
Thoiba Singh,4,1,118,1.3,0,0,0,0
Vignesh Dakshina Murthy,3,1,100,1.1,0,0,0,0
Laldinliana Renthlei,3,0,29,0.3,0,0,0,0
Soosai Raj,1,0,12,0.1,0,0,0,0
Hitesh Sharma,1,0,12,0.1,0,0,0,0
Sahil Panwar,2,0,11,0.1,0,0,0,0
Aphaoba Singh,1,0,9,0.1,0,0,0,0
Lalthuammawia Ralte,0,0,0,0,0,0,0,0
Paul Ramfangzauva,0,0,0,0,0,0,0,0
Lalliansanga Renthlei,0,0,0,0,0,0,0,0
Isaac Vanmalsawma,0,0,0,0,0,0,0,0